Epoch,Time,Score,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,Sigma_Power,Delta_Ratio,Theta_Ratio,Alpha_Ratio,Beta_Ratio,Gamma_Ratio,Sigma_Ratio,date.time,meanRR,SDRR
273,1:40:09,R,10.38919,2.643188,1.112772,1.529351,0.229498,2.642123,0.608034,0.167847,0.075704,0.127992,0.020424,0.203696,2019-11-22 01:40:09,1214.43861683954,0.346133511120635
274,1:40:39,R,4.850828,1.980543,0.89018,1.476719,0.225069,2.366899,0.445415,0.225731,0.115683,0.184136,0.029035,0.299819,2019-11-22 01:40:39,1213.24944400804,0.346133511120611
275,1:41:09,R,9.448539,2.385734,0.764733,1.27219,0.235247,2.036923,0.608973,0.185358,0.072208,0.112017,0.021443,0.184225,2019-11-22 01:41:09,1212.06027117653,0.346133511120633
276,1:41:39,R,17.61339,2.50124,0.595968,1.409092,0.263357,2.005061,0.705315,0.143105,0.037186,0.095348,0.019046,0.132534,2019-11-22 01:41:39,1210.87109834502,0.346133511120649
277,1:42:09,R,16.74057,2.348691,0.723009,1.542114,0.226343,2.265123,0.690135,0.142488,0.046994,0.104365,0.016017,0.151359,2019-11-22 01:42:09,1209.68192551351,0.346133511120616
278,1:42:39,R,10.20038,3.222233,0.812356,1.361325,0.219544,2.173681,0.587246,0.227905,0.059893,0.107671,0.017285,0.167565,2019-11-22 01:42:39,1208.49275268201,0.346133511120628
279,1:43:09,R,7.460447,2.232902,0.918672,1.399384,0.183989,2.318056,0.537094,0.199438,0.086006,0.156681,0.020781,0.242687,2019-11-22 01:43:09,1207.3035798505,0.346133511120644
280,1:43:39,R,9.136097,2.134909,0.794239,1.352784,0.22562,2.147023,0.610078,0.173144,0.074658,0.119467,0.022653,0.194125,2019-11-22 01:43:39,1206.11440701899,0.346133511120623
281,1:44:09,R,5.078971,2.617606,0.733246,1.474892,0.220875,2.208138,0.469865,0.266866,0.084412,0.154999,0.023858,0.239411,2019-11-22 01:44:09,1204.92523418748,0.346133511120614
282,1:44:39,R,10.34628,3.006208,0.784996,1.267565,0.217089,2.052562,0.556385,0.222694,0.073428,0.127249,0.020244,0.200677,2019-11-22 01:44:39,1203.73606135598,0.346133511120648
283,1:45:09,R,10.83053,2.637346,0.746612,1.979434,0.213083,2.726046,0.620333,0.187707,0.058713,0.115717,0.01753,0.17443,2019-11-22 01:45:09,1202.54688852447,0.346133511120625
284,1:45:39,R,13.07888,2.673054,0.788076,1.490524,0.223874,2.2786,0.647202,0.172869,0.052139,0.109503,0.018288,0.161642,2019-11-22 01:45:39,1201.35771569296,0.346133511120614
285,1:46:09,R,6.955864,1.866513,0.736161,1.110579,0.208795,1.84674,0.577159,0.193104,0.081296,0.124847,0.023595,0.206143,2019-11-22 01:46:09,1200.16854286146,0.346133511120635
286,1:46:39,R,6.07831,1.557064,0.584491,1.412259,0.226875,1.996749,0.579707,0.175567,0.06495,0.153305,0.026471,0.218254,2019-11-22 01:46:39,1198.97937002995,0.346133511120639
287,1:47:09,R,7.521673,2.238859,0.691146,1.317823,0.21777,2.008969,0.577442,0.195694,0.069465,0.133226,0.024174,0.20269,2019-11-22 01:47:09,1197.79019719844,0.346133511120608
288,1:47:39,N2,12.39647,2.847822,1.275756,1.601189,0.197672,2.876945,0.583647,0.191033,0.087971,0.121359,0.01599,0.20933,2019-11-22 01:47:39,1196.60102436693,0.34613351112064
289,1:48:09,N2,13.09186,3.02035,1.535774,1.703998,0.184869,3.239773,0.578774,0.200036,0.092656,0.113326,0.015208,0.205982,2019-11-22 01:48:09,1195.41185153543,0.346133511120638
290,1:48:39,N2,9.92012,3.827404,1.44756,1.89477,0.216564,3.34233,0.51256,0.230878,0.103496,0.137334,0.015732,0.24083,2019-11-22 01:48:39,1194.22267870392,0.346133511120625
291,1:49:09,N2,11.79237,2.519959,1.982058,1.47576,0.212688,3.457818,0.594952,0.183003,0.100244,0.1045,0.017302,0.204743,2019-11-22 01:49:09,1193.03350587241,0.346133511120631
292,1:49:39,N2,16.92544,2.744968,3.327277,2.855387,0.215699,6.182664,0.544837,0.141277,0.144633,0.154529,0.014724,0.299162,2019-11-22 01:49:39,1191.8443330409,0.346133511120631
293,1:50:09,N2,16.14587,3.004909,2.005438,1.745972,0.256286,3.75141,0.578972,0.185061,0.103039,0.1146,0.018329,0.217639,2019-11-22 01:50:09,1190.6551602094,0.346133511120634
294,1:50:39,N2,10.16738,3.083461,2.237475,1.285438,0.234233,3.522913,0.558882,0.208799,0.123724,0.090971,0.017624,0.214695,2019-11-22 01:50:39,1189.46598737789,0.346133511120628
295,1:51:09,N2,13.42971,2.781222,1.601684,1.537982,0.266465,3.139666,0.590561,0.177608,0.102169,0.109162,0.020499,0.211331,2019-11-22 01:51:09,1188.27681454638,0.346133511120628
296,1:51:39,N2,17.54173,3.225314,2.652362,1.669093,0.193643,4.321455,0.604214,0.165517,0.122077,0.094853,0.013339,0.21693,2019-11-22 01:51:39,1187.08764171488,0.346133511120632
297,1:52:09,N2,15.25554,3.512761,1.571783,1.487561,0.215878,3.059345,0.615562,0.182859,0.09295,0.095281,0.013349,0.188231,2019-11-22 01:52:09,1185.89846888337,0.346133511120633
298,1:52:39,N2,20.27833,3.586504,2.484159,1.716127,0.205809,4.200285,0.634927,0.156261,0.110005,0.08864,0.010168,0.198644,2019-11-22 01:52:39,1184.70929605186,0.34613351112063
299,1:53:09,N2,62.02496,8.476125,3.958381,3.571606,0.90336,7.529987,0.582452,0.163433,0.109071,0.089554,0.05549,0.198624,2019-11-22 01:53:09,1183.52012322035,0.34613351112063
300,1:53:39,N2,17.84094,2.775653,1.810706,1.596047,0.815721,3.406753,0.647226,0.141997,0.082375,0.080428,0.047974,0.162803,2019-11-22 01:53:39,1182.33095038885,0.34613351112063
301,1:54:09,N2,12.70163,3.578578,2.468251,2.037805,0.20822,4.506056,0.585219,0.194025,0.110802,0.096279,0.013675,0.207081,2019-11-22 01:54:09,1181.14177755734,0.346133511120632
302,1:54:39,N2,16.28847,2.262534,1.752106,1.662931,2.630139,3.415037,0.532946,0.128149,0.095029,0.089746,0.154131,0.184774,2019-11-22 01:54:39,1179.95260472583,0.346133511120628
303,1:55:09,N2,19.31452,3.238222,1.789232,1.435089,2.262268,3.224321,0.578087,0.15209,0.080651,0.070402,0.11877,0.151053,2019-11-22 01:55:09,1178.76343189432,0.346133511120626
304,1:55:39,N2,19.15553,4.385698,2.625311,2.211173,3.156712,4.836484,0.530044,0.151868,0.089241,0.085183,0.143664,0.174425,2019-11-22 01:55:39,1177.57425906282,0.346133511120631
305,1:56:09,N2,41.82375,6.293057,2.882629,3.561322,1.462417,6.443951,0.639798,0.14124,0.07649,0.097499,0.044973,0.17399,2019-11-22 01:56:09,1176.38508623131,0.346133511120632
306,1:56:39,N2,24.25001,5.194657,3.255244,2.425492,0.298374,5.680736,0.602113,0.196664,0.098647,0.088104,0.014471,0.186751,2019-11-22 01:56:39,1175.1959133998,0.346133511120632
307,1:57:09,N2,22.48512,4.11659,1.779127,1.65644,0.244995,3.435567,0.665139,0.168623,0.077962,0.0745,0.013777,0.152461,2019-11-22 01:57:09,1174.00674056829,0.346133511120633
308,1:57:39,N2,26.36839,5.237529,2.38064,2.028319,1.049883,4.408958,0.671195,0.149287,0.071703,0.072303,0.035511,0.144006,2019-11-22 01:57:39,1172.81756773679,0.346133511120625
309,1:58:09,N2,39.74845,4.534796,2.200309,2.373316,0.651311,4.573626,0.717977,0.124841,0.071151,0.067146,0.018886,0.138297,2019-11-22 01:58:09,1171.62839490528,0.346133511120627
310,1:58:39,N2,107.0101,18.93309,7.456959,7.161363,4.088228,14.61832,0.628113,0.128188,0.069175,0.078593,0.095931,0.147768,2019-11-22 01:58:39,1170.43922207377,0.346133511120631
311,1:59:09,N2,20.84087,3.751142,1.432886,1.93059,1.922075,3.363475,0.652768,0.136022,0.052814,0.075682,0.082715,0.128495,2019-11-22 01:59:09,1169.25004924227,0.346133511120635
312,1:59:39,N2,20.00432,4.69664,3.257732,1.985232,0.340484,5.242964,0.566309,0.204242,0.107323,0.09894,0.023186,0.206263,2019-11-22 01:59:39,1168.06087641076,0.346133511120629
313,2:00:09,N2,15.93504,3.943926,2.407958,1.613861,0.230282,4.021819,0.611609,0.190167,0.107612,0.078416,0.012196,0.186028,2019-11-22 02:00:09,1166.87170357925,0.34613351112063
314,2:00:39,N2,19.33418,3.480873,2.008447,1.547776,0.236722,3.556222,0.617017,0.18362,0.098442,0.085846,0.015075,0.184289,2019-11-22 02:00:39,1165.68253074774,0.346133511120629
315,2:01:09,N2,31.90361,6.566047,3.089436,1.958384,0.290105,5.047821,0.607262,0.186461,0.110476,0.08219,0.013611,0.192666,2019-11-22 02:01:09,1164.49335791624,0.346133511120631
316,2:01:39,N2,64.36736,8.750045,5.512306,6.506189,2.282548,12.01849,0.64238,0.130202,0.069296,0.097536,0.060586,0.166832,2019-11-22 02:01:39,1163.30418508473,0.346133511120627
317,2:02:09,N2,27.61043,3.522782,2.224663,1.915514,2.872272,4.140177,0.594137,0.122732,0.07996,0.079667,0.123504,0.159627,2019-11-22 02:02:09,1162.11501225322,0.346133511120629
318,2:02:39,N2,19.9127,3.905766,3.424259,2.407359,1.338079,5.831618,0.633066,0.123372,0.107021,0.077837,0.058705,0.184858,2019-11-22 02:02:39,1160.92583942171,0.346133511120632
319,2:03:09,N2,19.32317,4.54313,2.324435,1.647882,0.304343,3.972318,0.607866,0.1827,0.110659,0.081749,0.017025,0.192408,2019-11-22 02:03:09,1159.73666659021,0.346133511120633
320,2:03:39,N2,28.9789,3.796787,2.598123,1.607945,0.264942,4.206069,0.700079,0.129023,0.100507,0.058674,0.011716,0.159182,2019-11-22 02:03:39,1158.5474937587,0.34613351112063
321,2:04:09,N2,21.65274,3.970954,2.501355,1.720054,0.278488,4.221409,0.635226,0.15874,0.108628,0.082876,0.01453,0.191504,2019-11-22 02:04:09,1157.35832092719,0.346133511120631
322,2:04:39,N2,29.97739,4.986665,3.036942,1.740896,0.2853,4.777838,0.616447,0.179087,0.107129,0.083015,0.014322,0.190144,2019-11-22 02:04:39,1156.16914809569,0.346133511120634
323,2:05:09,N2,31.00461,5.141374,2.340544,1.649184,0.275941,3.989728,0.696088,0.159721,0.076286,0.057606,0.010298,0.133892,2019-11-22 02:05:09,1154.97997526418,0.346133511120628
324,2:05:39,N2,44.47571,5.343467,1.831616,1.820602,0.267886,3.652218,0.730624,0.142372,0.063168,0.054706,0.00913,0.117875,2019-11-22 02:05:39,1153.79080243267,0.346133511120628
325,2:06:09,N2,41.02959,3.62321,2.325572,1.462612,0.253032,3.788184,0.732762,0.113691,0.089522,0.054464,0.009561,0.143987,2019-11-22 02:06:09,1152.60162960116,0.346133511120632
326,2:06:39,N2,41.70989,7.049301,2.390497,1.728983,0.301342,4.11948,0.659405,0.171058,0.087485,0.070467,0.011586,0.157952,2019-11-22 02:06:39,1151.41245676966,0.346133511120633
327,2:07:09,N2,53.27066,6.243979,3.080052,1.862528,0.222835,4.942581,0.687836,0.150603,0.078755,0.073326,0.00948,0.152081,2019-11-22 02:07:09,1150.22328393815,0.34613351112063
328,2:07:39,N2,42.0605,5.903789,2.800973,1.602327,0.225953,4.4033,0.667777,0.185258,0.083015,0.054556,0.009395,0.137571,2019-11-22 02:07:39,1149.03411110664,0.34613351112063
329,2:08:09,N2,46.56646,6.902924,2.9329,1.746502,0.238046,4.679402,0.73741,0.145567,0.059058,0.050014,0.007951,0.109072,2019-11-22 02:08:09,1147.84493827513,0.34613351112063
330,2:08:39,N2,32.91648,6.179443,2.286268,1.834358,0.243118,4.120627,0.673766,0.191212,0.058453,0.067185,0.009385,0.125638,2019-11-22 02:08:39,1146.65576544363,0.34613351112063
331,2:09:09,N2,49.77579,7.41956,4.233871,1.611691,0.193052,5.845562,0.658681,0.203887,0.078494,0.050978,0.00796,0.129472,2019-11-22 02:09:09,1145.46659261212,0.346133511120628
332,2:09:39,N2,40.48704,6.254434,3.790176,1.811615,0.215445,5.60179,0.697676,0.156453,0.093195,0.045917,0.006758,0.139113,2019-11-22 02:09:39,1144.27741978061,0.346133511120626
333,2:10:09,N2,64.45322,7.593236,2.685517,1.404148,0.269513,4.089665,0.766677,0.134743,0.05756,0.033061,0.007959,0.090621,2019-11-22 02:10:09,1143.08824694911,0.346133511120631
334,2:10:39,N2,68.78536,8.505614,4.190475,1.664383,0.241726,5.854857,0.726905,0.14744,0.082544,0.036798,0.006313,0.119342,2019-11-22 02:10:39,1141.8990741176,0.346133511120632
335,2:11:09,N2,24.48119,4.735317,1.884575,1.185129,0.248247,3.069705,0.651651,0.187389,0.094575,0.055234,0.011152,0.149809,2019-11-22 02:11:09,1140.70990128609,0.346133511120624
336,2:11:39,N2,28.10958,7.222214,2.286561,1.597193,0.226229,3.883754,0.661103,0.198685,0.073703,0.057403,0.009106,0.131106,2019-11-22 02:11:39,1139.52072845458,0.346133511120632
337,2:12:09,N2,42.15022,5.651869,2.548404,1.34814,0.269967,3.896543,0.724191,0.153388,0.069089,0.044033,0.009299,0.113122,2019-11-22 02:12:09,1138.33155562308,0.346133511120632
338,2:12:39,N2,54.26044,6.195964,2.196912,1.736206,0.202809,3.933118,0.731779,0.150112,0.062976,0.04878,0.006353,0.111755,2019-11-22 02:12:39,1137.14238279157,0.346133511120621
339,2:13:09,N2,66.94652,10.02425,2.699675,1.619773,0.193549,4.319448,0.756801,0.143072,0.054838,0.039537,0.005752,0.094375,2019-11-22 02:13:09,1135.95320996006,0.346133511120625
340,2:13:39,N2,55.35171,5.951134,2.066397,1.267761,0.198934,3.334158,0.78306,0.134501,0.043612,0.033321,0.005506,0.076933,2019-11-22 02:13:39,1134.76403712855,0.346133511120626
341,2:14:09,N2,67.79671,9.270653,2.933779,1.793223,0.21804,4.727002,0.722917,0.170272,0.053998,0.045187,0.007626,0.099185,2019-11-22 02:14:09,1133.57486429705,0.346133511120638
342,2:14:39,N2,40.98254,5.561612,2.620955,1.546052,0.184343,4.167007,0.727716,0.159558,0.066322,0.040839,0.005564,0.107162,2019-11-22 02:14:39,1132.38569146554,0.346133511120638
343,2:15:09,N2,56.90655,8.307674,2.990654,1.801549,0.187479,4.792203,0.732039,0.154904,0.065452,0.042326,0.005279,0.107778,2019-11-22 02:15:09,1131.19651863403,0.346133511120629
344,2:15:39,N2,61.57351,6.04127,1.87802,1.324252,0.210598,3.202271,0.722649,0.167129,0.059409,0.042968,0.007845,0.102377,2019-11-22 02:15:39,1130.00734580252,0.346133511120623
345,2:16:09,N2,67.40489,7.032255,2.582707,1.35079,0.169152,3.933497,0.787807,0.129695,0.049092,0.029585,0.003822,0.078677,2019-11-22 02:16:09,1128.81817297102,0.346133511120626
346,2:16:39,N2,65.68163,9.314954,2.877917,1.320715,0.225817,4.198633,0.75404,0.157401,0.052472,0.031088,0.005,0.08356,2019-11-22 02:16:39,1127.62900013951,0.346133511120629
347,2:17:09,N3,79.2229,7.923251,3.409983,1.488951,0.259109,4.898934,0.750237,0.161446,0.051916,0.029977,0.006424,0.081892,2019-11-22 02:17:09,1126.439827308,0.346133511120631
348,2:17:39,N3,98.31093,7.784883,3.117184,1.537822,0.227067,4.655006,0.749228,0.153156,0.053857,0.037272,0.006488,0.091129,2019-11-22 02:17:39,1125.2506544765,0.346133511120636
349,2:18:09,N3,49.91223,7.628697,2.417242,1.195002,0.265737,3.612244,0.744796,0.166425,0.052347,0.028771,0.00766,0.081119,2019-11-22 02:18:09,1124.06148164499,0.346133511120627
350,2:18:39,N3,72.63711,14.26065,3.483046,1.620629,0.231377,5.103675,0.727872,0.1758,0.053423,0.036893,0.006012,0.090316,2019-11-22 02:18:39,1122.87230881348,0.346133511120623
351,2:19:09,N3,71.56332,6.342565,2.091221,1.175891,0.260566,3.267112,0.766869,0.134983,0.060493,0.03118,0.006476,0.091673,2019-11-22 02:19:09,1121.68313598197,0.346133511120627
352,2:19:39,N3,98.71687,6.867344,3.151986,1.512993,0.23286,4.664979,0.841712,0.098811,0.035267,0.02072,0.00349,0.055987,2019-11-22 02:19:39,1120.49396315047,0.346133511120636
353,2:20:09,N3,97.95478,10.71203,3.577972,1.373668,0.241626,4.95164,0.793892,0.130802,0.046177,0.024208,0.004921,0.070385,2019-11-22 02:20:09,1119.30479031896,0.346133511120631
354,2:20:39,N3,82.4429,8.302734,3.371306,1.355169,0.222955,4.726475,0.780175,0.124474,0.062695,0.027519,0.005138,0.090213,2019-11-22 02:20:39,1118.11561748745,0.346133511120624
355,2:21:09,N3,108.7234,12.94053,2.283493,1.310248,0.278243,3.593741,0.718975,0.195155,0.047405,0.031981,0.006484,0.079386,2019-11-22 02:21:09,1116.92644465594,0.34613351112062
356,2:21:39,N3,94.06988,8.390161,2.226146,1.391252,0.251855,3.617398,0.809377,0.11367,0.04172,0.029812,0.005423,0.071531,2019-11-22 02:21:39,1115.73727182444,0.346133511120627
357,2:22:09,N3,94.47823,12.50243,2.119322,1.231098,0.229198,3.35042,0.773521,0.16743,0.036198,0.018925,0.003927,0.055123,2019-11-22 02:22:09,1114.54809899293,0.346133511120637
358,2:22:39,N3,88.30042,6.651734,2.204642,1.606323,0.215966,3.810964,0.808019,0.123302,0.03647,0.027355,0.004853,0.063826,2019-11-22 02:22:39,1113.35892616142,0.346133511120635
359,2:23:09,N3,89.37865,12.88059,2.764207,1.285477,0.212016,4.049684,0.75435,0.161077,0.052937,0.026216,0.005419,0.079154,2019-11-22 02:23:09,1112.16975332992,0.346133511120631
360,2:23:39,N3,142.6647,9.9279,2.041009,1.335471,0.248343,3.37648,0.864771,0.09112,0.023241,0.017638,0.003231,0.040879,2019-11-22 02:23:39,1110.98058049841,0.346133511120622
361,2:24:09,N3,126.9268,9.118106,1.167898,0.979894,0.242703,2.147793,0.849988,0.111945,0.01915,0.01491,0.004007,0.03406,2019-11-22 02:24:09,1109.7914076669,0.346133511120629
362,2:24:39,N3,95.82384,6.697588,1.731384,1.05161,0.234159,2.782994,0.77598,0.144912,0.048871,0.024211,0.006026,0.073082,2019-11-22 02:24:39,1108.60223483539,0.346133511120629
363,2:25:09,N3,63.50746,6.009356,2.35432,1.410888,0.227421,3.765208,0.80818,0.104432,0.047132,0.034212,0.006044,0.081344,2019-11-22 02:25:09,1107.41306200389,0.346133511120635
364,2:25:39,N3,87.17247,8.104702,2.41718,1.410229,0.246506,3.827409,0.833668,0.105294,0.036311,0.0204,0.004328,0.056711,2019-11-22 02:25:39,1106.22388917238,0.346133511120633
365,2:26:09,N3,116.2482,10.07123,2.868359,1.391409,0.207167,4.259768,0.796683,0.133522,0.041371,0.024465,0.003959,0.065836,2019-11-22 02:26:09,1105.03471634087,0.346133511120629
366,2:26:39,N3,137.3362,7.012002,2.197176,1.234161,0.204716,3.431337,0.859363,0.091306,0.029182,0.01694,0.003209,0.046123,2019-11-22 02:26:39,1103.84554350936,0.346133511120627
367,2:27:09,N3,129.2427,8.901525,1.760621,1.208719,0.187744,2.96934,0.841424,0.111027,0.025914,0.018785,0.002851,0.044699,2019-11-22 02:27:09,1102.65637067786,0.346133511120631
368,2:27:39,N3,134.5132,10.22673,2.284962,1.488748,0.195066,3.77371,0.828288,0.120373,0.03018,0.017929,0.003231,0.048109,2019-11-22 02:27:39,1101.46719784635,0.346133511120632
369,2:28:09,N3,120.4609,6.997616,2.003955,1.210585,0.211113,3.214539,0.839584,0.104991,0.031237,0.020962,0.003226,0.052199,2019-11-22 02:28:09,1100.27802501484,0.346133511120631
370,2:28:39,N3,104.7259,9.560509,3.317475,1.113441,0.172662,4.430915,0.789688,0.125485,0.058787,0.022515,0.003525,0.081302,2019-11-22 02:28:39,1099.08885218333,0.346133511120628
371,2:29:09,N3,155.2946,7.883675,1.80489,1.210742,0.215578,3.015632,0.859408,0.102451,0.020618,0.014717,0.002806,0.035336,2019-11-22 02:29:09,1097.89967935183,0.346133511120625
372,2:29:39,N3,96.53116,11.41032,2.736294,1.342727,0.188082,4.079021,0.800343,0.132117,0.040003,0.02401,0.003527,0.064013,2019-11-22 02:29:39,1096.71050652032,0.346133511120628
373,2:30:09,N3,124.5302,7.188043,1.867154,1.099741,0.207969,2.966896,0.837816,0.11431,0.025348,0.018947,0.003578,0.044295,2019-11-22 02:30:09,1095.52133368881,0.346133511120633
374,2:30:39,N3,113.8003,10.99929,2.118527,1.190448,0.220834,3.308975,0.84195,0.114779,0.025032,0.015345,0.002894,0.040377,2019-11-22 02:30:39,1094.33216085731,0.346133511120636
375,2:31:09,N3,126.3256,7.782726,2.594233,1.355851,0.222183,3.950084,0.855386,0.090044,0.035233,0.01689,0.002446,0.052123,2019-11-22 02:31:09,1093.1429880258,0.346133511120626
376,2:31:39,N3,136.1433,7.675516,2.514794,1.183333,0.188538,3.698128,0.862769,0.091545,0.030019,0.013663,0.002004,0.043682,2019-11-22 02:31:39,1091.95381519429,0.346133511120629
377,2:32:09,N3,134.2774,9.512425,1.676073,0.951202,0.174051,2.627275,0.871212,0.095251,0.019667,0.011665,0.002206,0.031331,2019-11-22 02:32:09,1090.76464236278,0.346133511120628
378,2:32:39,N3,118.5281,11.54256,2.795125,1.235126,0.166519,4.030251,0.82498,0.124122,0.029082,0.019103,0.002713,0.048185,2019-11-22 02:32:39,1089.57546953128,0.346133511120631
379,2:33:09,N3,96.42451,7.52063,2.012137,1.244428,0.230394,3.256565,0.824069,0.117116,0.03399,0.020912,0.003912,0.054902,2019-11-22 02:33:09,1088.38629669977,0.34613351112063
380,2:33:39,N3,133.5482,11.70135,4.160635,1.342843,0.216544,5.503478,0.825595,0.116004,0.039092,0.016533,0.002777,0.055625,2019-11-22 02:33:39,1087.19712386826,0.346133511120625
381,2:34:09,N3,166.4703,11.32439,2.122765,1.29048,0.235313,3.413246,0.888512,0.081404,0.017105,0.010849,0.00213,0.027954,2019-11-22 02:34:09,1086.00795103675,0.346133511120623
382,2:34:39,N3,212.7624,14.11262,2.243132,1.320385,0.239946,3.563518,0.870165,0.089183,0.025104,0.012721,0.002828,0.037825,2019-11-22 02:34:39,1084.81877820525,0.346133511120632
383,2:35:09,N3,127.9806,9.575766,1.986052,1.27519,0.191427,3.261242,0.847242,0.105501,0.027296,0.017632,0.002328,0.044929,2019-11-22 02:35:09,1083.62960537374,0.346133511120635
384,2:35:39,N3,174.3211,9.037411,2.510378,1.050739,0.17775,3.561117,0.902468,0.064597,0.020992,0.010238,0.001705,0.03123,2019-11-22 02:35:39,1082.44043254223,0.346133511120635
385,2:36:09,N3,159.4594,11.42435,2.535331,1.583147,0.198183,4.118479,0.864873,0.098647,0.020194,0.014427,0.00186,0.034621,2019-11-22 02:36:09,1081.25125971073,0.346133511120632
386,2:36:39,N3,157.9552,7.5789,1.770702,1.032188,0.242493,2.802891,0.898157,0.069385,0.01818,0.011503,0.002776,0.029683,2019-11-22 02:36:39,1080.06208687922,0.346133511120627
387,2:37:09,N3,159.0657,13.4588,2.021943,1.045889,0.183769,3.067832,0.848267,0.12095,0.019231,0.009822,0.00173,0.029053,2019-11-22 02:37:09,1078.87291404771,0.346133511120623
388,2:37:39,N3,197.5891,11.18092,3.248603,1.381428,0.191326,4.630031,0.874633,0.076022,0.035016,0.012602,0.001727,0.047618,2019-11-22 02:37:39,1077.6837412162,0.346133511120628
389,2:38:09,N3,180.803,12.90767,3.004433,1.368532,0.193103,4.372966,0.855661,0.097486,0.03043,0.014455,0.001968,0.044885,2019-11-22 02:38:09,1076.4945683847,0.346133511120632
390,2:38:39,N3,137.2265,13.45819,2.784607,1.27457,0.192162,4.059176,0.852115,0.100125,0.029356,0.015873,0.00253,0.045229,2019-11-22 02:38:39,1075.30539555319,0.346133511120631
391,2:39:09,N3,141.8154,10.89577,2.355319,1.23029,0.198514,3.585608,0.841215,0.112795,0.027897,0.015225,0.002868,0.043122,2019-11-22 02:39:09,1074.11622272168,0.34613351112063
392,2:39:39,N3,183.5071,8.824819,1.956304,1.079141,0.181608,3.035445,0.904944,0.06774,0.017102,0.008872,0.001341,0.025974,2019-11-22 02:39:39,1072.92704989017,0.346133511120623
393,2:40:09,N3,178.2136,13.7271,2.689873,1.316431,0.184918,4.006304,0.859136,0.098361,0.025868,0.014118,0.002517,0.039986,2019-11-22 02:40:09,1071.73787705867,0.346133511120625
394,2:40:39,N3,152.244,12.96324,2.471472,1.071218,0.179165,3.54269,0.857953,0.108048,0.022345,0.010014,0.001641,0.032358,2019-11-22 02:40:39,1070.54870422716,0.346133511120632
395,2:41:09,N3,182.7653,11.77645,1.904921,1.040379,0.193833,2.9453,0.843864,0.124194,0.018096,0.011527,0.002318,0.029623,2019-11-22 02:41:09,1069.35953139565,0.346133511120632
396,2:41:39,N3,201.0921,9.531587,1.614099,1.265065,0.205891,2.879164,0.89084,0.080037,0.013212,0.013478,0.002433,0.02669,2019-11-22 02:41:39,1068.17035856415,0.346133511120621
397,2:42:09,N3,171.8042,9.278038,2.199143,1.205642,0.254479,3.404785,0.881916,0.07849,0.018529,0.017972,0.003094,0.0365,2019-11-22 02:42:09,1066.98118573264,0.346133511120625
398,2:42:39,N3,217.2529,12.26405,2.511421,1.334689,0.203985,3.84611,0.861831,0.105485,0.01933,0.011532,0.001823,0.030862,2019-11-22 02:42:39,1065.79201290113,0.346133511120633
399,2:43:09,N3,150.8624,9.533072,2.153469,1.239698,0.243754,3.393167,0.886109,0.081365,0.019023,0.011439,0.002065,0.030462,2019-11-22 02:43:09,1064.60284006962,0.346133511120638
400,2:43:39,N3,183.848,7.977962,2.150831,1.295305,0.228145,3.446136,0.872419,0.088342,0.021207,0.014987,0.003045,0.036194,2019-11-22 02:43:39,1063.41366723812,0.346133511120638
401,2:44:09,N3,142.9232,8.654029,1.708804,1.085074,0.222741,2.793878,0.866546,0.098209,0.02046,0.0121,0.002685,0.03256,2019-11-22 02:44:09,1062.22449440661,0.346133511120629
402,2:44:39,N3,169.2188,13.24356,2.713969,1.496786,0.261842,4.210754,0.850294,0.113013,0.021275,0.01311,0.002308,0.034385,2019-11-22 02:44:39,1061.0353215751,0.346133511120625
403,2:45:09,N3,218.4258,7.791414,2.155771,1.080124,0.188031,3.235895,0.903326,0.06268,0.019774,0.012368,0.001852,0.032141,2019-11-22 02:45:09,1059.84614874359,0.346133511120626
404,2:45:39,N3,172.6493,10.94975,2.661456,1.55075,0.231253,4.212206,0.882237,0.074653,0.02476,0.01585,0.0025,0.040611,2019-11-22 02:45:39,1058.65697591209,0.346133511120629
405,2:46:09,N3,204.2484,9.958986,2.534832,1.734381,0.236209,4.269213,0.884352,0.061809,0.024258,0.026209,0.003372,0.050468,2019-11-22 02:46:09,1057.46780308058,0.346133511120631
406,2:46:39,N3,183.9342,9.413924,1.728524,1.724927,0.275049,3.453451,0.859222,0.094729,0.019104,0.023851,0.003094,0.042956,2019-11-22 02:46:39,1056.27863024907,0.346133511120636
407,2:47:09,N3,149.9556,8.494412,3.378075,1.429129,0.228825,4.807204,0.876521,0.068937,0.037542,0.014791,0.00221,0.052333,2019-11-22 02:47:09,1055.08945741756,0.346133511120627
408,2:47:39,N3,203.6115,8.618668,2.078751,1.382124,0.254547,3.460875,0.860856,0.097866,0.021058,0.017632,0.002587,0.03869,2019-11-22 02:47:39,1053.90028458606,0.346133511120623
409,2:48:09,N3,183.7141,7.466603,2.037368,1.359725,0.226742,3.397093,0.912482,0.057231,0.015813,0.012233,0.00224,0.028047,2019-11-22 02:48:09,1052.71111175455,0.346133511120627
410,2:48:39,N3,139.273,10.62045,2.255227,1.748078,0.197786,4.003305,0.814799,0.124675,0.029392,0.026953,0.00418,0.056346,2019-11-22 02:48:39,1051.52193892304,0.346133511120634
